NM_Municipio,State,Region,Prop_PSL,EP,PE,LR,MHIC,DD,Nordeste,Norte,Sul,Sudeste,Centro_Oeste,PG_2014_Esquerda,PG_2014_Direita,PG_2014_Centro,PG_2018_Esquerda,PG_2018_Direita,PG_2018_Centro,Cap_BR,latitude,longitude
Campo Grande (MS),MS,Midwest,0.712668750752998,7.86797,0.304884233163065,96.3,1243.39,97.22,0,0,0,0,1,0,0,1,0,0,1,1,-20.4486,-54.6295
Campos dos Goytacazes (RJ),RJ,Southeast,0.648716312836872,4.63731,0.310578762256567,93.5,760.25,115.16,0,0,0,1,0,0,0,0,0,1,0,0,-21.7622,-41.3181
Canoas (RS),RS,South,0.654901296558356,3.23827,0.187865743128275,97.5,1083.28,2470.13,0,0,1,0,0,0,0,0,0,0,1,0,-29.9128,-51.1857
Carapicuíba (SP),SP,Southeast,0.58852663041815,3.69584,0.307626953547773,95.8,773.77,10680.08,0,0,0,1,0,0,0,1,0,0,1,0,-23.5235,-46.8407
Cariacica (ES),ES,Southeast,0.60411888699345,3.48738,0.41019619313066,94.3,701.2,1245.6,0,0,0,1,0,0,0,0,1,0,0,0,-20.2632,-40.4165
Caruaru (PE),PE,Northeast,0.460334724054725,3.14912,0.217000304847068,85.5,641.74,342.07,1,0,0,0,0,1,0,0,1,0,0,0,-8.28455,-35.9699
Caucaia (CE),CE,Northeast,0.366791423646367,3.25441,0.244674149845901,88,439.72,265.93,1,0,0,0,0,1,0,0,1,0,0,0,-3.72797,-38.6619
Caxias do Sul (RS),RS,South,0.750726440841227,4.35564,0.13828048231718,97.7,1394.63,264.89,0,0,1,0,0,0,0,0,0,0,1,0,-29.1629,-51.1792
Contagem (MG),MG,Southeast,0.657513596402882,6.03442,0.316032029590251,96.6,915.28,3090.33,0,0,0,1,0,1,0,0,0,1,0,0,-19.9321,-44.0539
Cuiabá (MT),MT,Midwest,0.669394558684342,5.51098,0.263640949522589,96,1312.09,163.88,0,0,0,0,1,1,0,0,0,1,0,1,-15601,-56.0974
Curitiba (PR),PR,South,0.765410865570298,17.51907,0.242380445993994,98,1753.48,4024.84,0,0,1,0,0,0,0,1,0,1,0,1,-25.4195,-49.2646
Diadema (SP),SP,Southeast,0.520007062614492,3.86089,0.270890908572894,95.9,771.73,12519.1,0,0,0,1,0,0,0,1,0,0,1,0,-23.6813,-46.6205
Duque de Caxias (RJ),RJ,Southeast,0.687857272141995,8.55048,0.367767657488235,95.3,650.31,1828.51,0,0,0,1,0,0,0,0,0,1,0,0,-22.7858,-43.3049
Feira de Santana (BA),BA,Northeast,0.371492538276416,5.56642,0.251486592819083,91.4,761.42,416.03,1,0,0,0,0,1,0,0,1,0,0,0,-12.2664,-38.9663
Florianópolis (SC),SC,South,0.648634620155335,4.2124,0.129902193523882,98,1985.36,627.24,0,0,1,0,0,0,1,0,0,1,0,1,-27.5945,-48.5477
Fortaleza (CE),CE,Northeast,0.443868116855664,24.52185,0.213465134155865,93.4,942.21,7786.52,1,0,0,0,0,1,0,0,1,0,0,1,-3.71664,-38.5423
Franca (SP),SP,Southeast,0.753921989366521,3.1864,0.200536655787095,96.8,970.61,526.09,0,0,0,1,0,0,0,1,0,0,1,0,-20.5352,-47.4039
Goiânia (GO),GO,Midwest,0.74204359106838,13.02001,0.32446595663137,96.9,1501.36,1776.75,0,0,0,0,1,0,0,1,0,1,0,1,-16.6864,-49.2643
Guarulhos (SP),SP,Southeast,0.661307199763108,12.21979,0.283569521243818,96.1,929.49,3828.36,0,0,0,1,0,0,0,1,0,0,1,0,-23.4538,-46.5333
Itaquaquecetuba (SP),SP,Southeast,0.583989535305393,3.2177,0.327951642477546,94.7,571.28,3877.73,0,0,0,1,0,0,0,1,0,0,1,0,-23.4835,-46.3457
Jaboatão dos Guararapes (PE),PE,Northeast,0.46617444898628,6.4462,0.314414693928206,91.4,668.99,2493.06,1,0,0,0,0,1,0,0,1,0,0,0,-8.11298,-35015
João Pessoa (PB),PB,Northeast,0.547985576174332,7.23515,0.240335031063627,92.4,1082.66,3421.3,1,0,0,0,0,1,0,0,1,0,0,1,-7.11509,-34.8641
Joinville (SC),SC,South,0.831810520713209,5.15288,0.283272655291798,97.9,1283.37,449.3,0,0,1,0,0,0,1,0,0,1,0,0,-26.3045,-48.8487
Juiz de Fora (MG),MG,Southeast,0.523590445653349,5.16247,0.217157678398131,96.9,1170.45,359.59,0,0,0,1,0,1,0,0,0,1,0,0,-21.7595,-43.3398
